
> escuela-global-frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.20:3000
- Environments: .env.local
✓ Ready in 1527ms

 GET /perfil 200 in 272ms (next.js: 15ms, proxy.ts: 56ms, application-code: 201ms)
 GET /perfil 200 in 270ms (next.js: 52ms, proxy.ts: 13ms, application-code: 205ms)
 GET /perfil 200 in 276ms (next.js: 15ms, proxy.ts: 46ms, application-code: 216ms)
 GET /perfil 200 in 327ms (next.js: 18ms, proxy.ts: 60ms, application-code: 249ms)
 GET /perfil 200 in 318ms (next.js: 53ms, proxy.ts: 16ms, application-code: 250ms)
 GET /perfil 200 in 322ms (next.js: 55ms, proxy.ts: 50ms, application-code: 218ms)
 GET /perfil 200 in 281ms (next.js: 31ms, proxy.ts: 51ms, application-code: 199ms)
 GET /perfil 200 in 274ms (next.js: 58ms, proxy.ts: 17ms, application-code: 199ms)
 GET /perfil 200 in 324ms (next.js: 53ms, proxy.ts: 53ms, application-code: 218ms)
 GET /perfil 200 in 300ms (next.js: 13ms, proxy.ts: 53ms, application-code: 234ms)
 GET /perfil 200 in 321ms (next.js: 15ms, proxy.ts: 50ms, application-code: 257ms)
 GET /perfil 200 in 329ms (next.js: 16ms, proxy.ts: 52ms, application-code: 261ms)
 GET /perfil 200 in 333ms (next.js: 30ms, proxy.ts: 61ms, application-code: 243ms)
 GET /perfil 200 in 331ms (next.js: 77ms, proxy.ts: 23ms, application-code: 230ms)
 GET /perfil 200 in 319ms (next.js: 21ms, proxy.ts: 73ms, application-code: 226ms)
 GET /perfil 200 in 297ms (next.js: 21ms, proxy.ts: 52ms, application-code: 224ms)
 GET /perfil 200 in 303ms (next.js: 62ms, proxy.ts: 10ms, application-code: 231ms)
 GET /perfil 200 in 309ms (next.js: 16ms, proxy.ts: 55ms, application-code: 238ms)
 GET /perfil 200 in 303ms (next.js: 21ms, proxy.ts: 57ms, application-code: 225ms)
 GET /perfil 200 in 315ms (next.js: 63ms, proxy.ts: 17ms, application-code: 234ms)
 GET /perfil 200 in 317ms (next.js: 21ms, proxy.ts: 63ms, application-code: 233ms)
 GET /perfil 200 in 297ms (next.js: 19ms, proxy.ts: 57ms, application-code: 221ms)
 GET /perfil 200 in 293ms (next.js: 54ms, proxy.ts: 16ms, application-code: 222ms)
 GET /perfil 200 in 406ms (next.js: 23ms, proxy.ts: 67ms, application-code: 315ms)
 GET /perfil 200 in 390ms (next.js: 59ms, proxy.ts: 21ms, application-code: 310ms)
 GET /perfil 200 in 386ms (next.js: 54ms, proxy.ts: 57ms, application-code: 275ms)
 GET /perfil 200 in 336ms (next.js: 18ms, proxy.ts: 49ms, application-code: 269ms)
 GET /perfil 200 in 343ms (next.js: 62ms, proxy.ts: 14ms, application-code: 267ms)
 GET /perfil 200 in 386ms (next.js: 126ms, proxy.ts: 53ms, application-code: 207ms)
 GET /perfil 200 in 313ms (next.js: 16ms, proxy.ts: 50ms, application-code: 247ms)
 GET /perfil 200 in 316ms (next.js: 19ms, proxy.ts: 50ms, application-code: 247ms)
 GET /perfil 200 in 274ms (next.js: 58ms, proxy.ts: 10ms, application-code: 205ms)
 GET /perfil 200 in 224ms (next.js: 17ms, proxy.ts: 56ms, application-code: 151ms)
 GET /perfil 200 in 169ms (next.js: 57ms, proxy.ts: 11ms, application-code: 102ms)
 GET /perfil 200 in 119ms (next.js: 10ms, proxy.ts: 51ms, application-code: 58ms)
 GET /mis-cursos 200 in 107ms (next.js: 65ms, proxy.ts: 6ms, application-code: 36ms)
 GET /mis-cursos 200 in 383ms (next.js: 148ms, proxy.ts: 44ms, application-code: 191ms)
 GET /mis-cursos 200 in 311ms (next.js: 9ms, proxy.ts: 7ms, application-code: 295ms)
 GET /mis-cursos 200 in 280ms (next.js: 63ms, proxy.ts: 19ms, application-code: 198ms)
 GET /mis-cursos 200 in 283ms (next.js: 21ms, proxy.ts: 20ms, application-code: 242ms)
 GET /mis-cursos 200 in 323ms (next.js: 108ms, proxy.ts: 20ms, application-code: 195ms)
 GET /mis-cursos 200 in 323ms (next.js: 148ms, proxy.ts: 20ms, application-code: 154ms)
 GET /mis-cursos 200 in 243ms (next.js: 10ms, proxy.ts: 99ms, application-code: 134ms)
 GET /mis-cursos 200 in 307ms (next.js: 12ms, proxy.ts: 9ms, application-code: 286ms)
 GET /mis-cursos 200 in 299ms (next.js: 67ms, proxy.ts: 23ms, application-code: 208ms)
 GET /mis-cursos 200 in 303ms (next.js: 27ms, proxy.ts: 23ms, application-code: 253ms)
 GET /mis-cursos 200 in 342ms (next.js: 154ms, proxy.ts: 19ms, application-code: 170ms)
 GET /mis-cursos 200 in 341ms (next.js: 107ms, proxy.ts: 20ms, application-code: 215ms)
 GET /mis-cursos 200 in 251ms (next.js: 11ms, proxy.ts: 105ms, application-code: 134ms)
 GET /mis-cursos 200 in 279ms (next.js: 13ms, proxy.ts: 9ms, application-code: 257ms)
 GET /mis-cursos 200 in 273ms (next.js: 23ms, proxy.ts: 17ms, application-code: 232ms)
 GET /mis-cursos 200 in 276ms (next.js: 72ms, proxy.ts: 22ms, application-code: 182ms)
 GET /mis-cursos 200 in 315ms (next.js: 64ms, proxy.ts: 62ms, application-code: 188ms)
 GET /mis-cursos 200 in 314ms (next.js: 100ms, proxy.ts: 63ms, application-code: 151ms)
 GET /mis-cursos 200 in 264ms (next.js: 9ms, proxy.ts: 82ms, application-code: 173ms)
 GET /mis-cursos 200 in 287ms (next.js: 13ms, proxy.ts: 14ms, application-code: 260ms)
 GET /mis-cursos 200 in 280ms (next.js: 22ms, proxy.ts: 16ms, application-code: 241ms)
 GET /mis-cursos 200 in 320ms (next.js: 59ms, proxy.ts: 20ms, application-code: 240ms)
 GET /mis-cursos 200 in 311ms (next.js: 62ms, proxy.ts: 56ms, application-code: 193ms)
